# condiciones_iniciales
tiempo;temperatura;id;presion_total;fraccion_molar;tipo_especie;nombre_data;presion_parcial;especie_quimica;detalle
0.0;200.0;1;1.0;0.5;reactivo_limitante;01_DisenoReactores_Roman_p7r_p32;0.5;A;50% A y 50% inerte parte a
0.0;300.0;2;1.0;0.5;reactivo_limitante;01_DisenoReactores_Roman_p7r_p32;0.5;A;50% A y 50% inerte

# datos_cineticos
otra_propiedad;id;tipo_especie;nombre_data;especie_quimica;tiempo;concentracion;conversion_reactivo_limitante;id_condiciones_iniciales;nombre_reaccion
1.0;1;reactivo_limitante;01_DisenoReactores_Roman_p7r_p32;A;0.0;0.01288716258187;0.0;1;A=>2R
1.056;2;reactivo_limitante;01_DisenoReactores_Roman_p7r_p32;A;5.0;0.01143091321011;0.113;1;A=>2R
1.137;3;reactivo_limitante;01_DisenoReactores_Roman_p7r_p32;A;15.0;0.00935608003443;0.274;1;A=>2R
1.219;4;reactivo_limitante;01_DisenoReactores_Roman_p7r_p32;A;30.0;0.00724258537101;0.438;1;A=>2R
1.249;5;reactivo_limitante;01_DisenoReactores_Roman_p7r_p32;A;40.0;0.0064693556161;0.498;1;A=>2R
1.279;6;reactivo_limitante;01_DisenoReactores_Roman_p7r_p32;A;50.0;0.00569612586118;0.558;1;A=>2R
1.336;7;reactivo_limitante;01_DisenoReactores_Roman_p7r_p32;A;80.0;0.00422698932685;0.672;1;A=>2R
;8;reactivo_limitante;01_DisenoReactores_Roman_p7r_p32;A;0.0;0.01063;0.0;2;A=>2R
;9;reactivo_limitante;01_DisenoReactores_Roman_p7r_p32;A;5.0;0.00353265294593;0.66767140678017;2;A=>2R
;10;reactivo_limitante;01_DisenoReactores_Roman_p7r_p32;A;10.0;0.00211831475407;0.8007229770393;2;A=>2R
;11;reactivo_limitante;01_DisenoReactores_Roman_p7r_p32;A;15.0;0.00151269138107;0.8576960130692;2;A=>2R
;12;reactivo_limitante;01_DisenoReactores_Roman_p7r_p32;A;30.0;0.0008142835913;0.92339759253954;2;A=>2R
;13;reactivo_limitante;01_DisenoReactores_Roman_p7r_p32;A;40.0;0.00062263655831;0.94142647616995;2;A=>2R
;14;reactivo_limitante;01_DisenoReactores_Roman_p7r_p32;A;50.0;0.00050401361738;0.95258573684136;2;A=>2R
;15;reactivo_limitante;01_DisenoReactores_Roman_p7r_p32;A;80.0;0.00032071086181;0.96982964611382;2;A=>2R
;16;reactivo_limitante;01_DisenoReactores_Roman_p7r_p32;A;100.0;0.00025812624146;0.97571719271322;2;A=>2R

# registro_data_experimental
nombre_data;fecha;id;detalle
01_DisenoReactores_Roman_p7r_p32;12/07/2024;1;"Se debe transformar estos datos En un reactor intermitente,
que opera a 200°Cy 1 atm de presión inicial, se lleva a cabo la 
reacción A => 2R en fase gas y a volumen constante.
Se realizó un experimento alimentando al reactor  50% del reactivo A  y 50% de inertes, 
a)  El modelo cinético
b)  La cantidad de reactivo presente en el sistema 
después de 1h de iniciada la reacción
c)  La presión total máxima alcanzada en el reactor
d)  El tiempo de vida media
e)  La energía de activación de la reacción. 
Si se ha encontrado experimentalmente  que la 
misma reacción a 300°C tiene una constante de velocidad de 37.8 L/mol min.
f)  La temperatura a la que debe operar el reactor para lograr 50% de conversión en 1200 s.
g)  La temperatura a la que debe operar el reactor para lograr el 50% de conversión en 1200 s, 
si se alimenta al sistema A puro a 3 atm de presión.
""""""
#datos iniciales
#T = 200 + 273.15
#P_total_inicial = 1 atm o 14.7 PSIA
#fraccion_A = 0.5"
test1;12/07/2024;2;"Se debe transformar estos datos En un reactor intermitente,
que opera a 200°Cy 1 atm de presión inicial, se lleva a cabo la 
reacción A => 2R en fase gas y a volumen constante.
Se realizó un experimento alimentando al reactor  50% del reactivo A  y 50% de inertes, 
a)  El modelo cinético
b)  La cantidad de reactivo presente en el sistema 
después de 1h de iniciada la reacción
c)  La presión total máxima alcanzada en el reactor
d)  El tiempo de vida media
e)  La energía de activación de la reacción. 
Si se ha encontrado experimentalmente  que la 
misma reacción a 300°C tiene una constante de velocidad de 37.8 L/mol min.
f)  La temperatura a la que debe operar el reactor para lograr 50% de conversión en 1200 s.
g)  La temperatura a la que debe operar el reactor para lograr el 50% de conversión en 1200 s, 
si se alimenta al sistema A puro a 3 atm de presión.
""""""
#datos iniciales
#T = 200 + 273.15
#P_total_inicial = 1 atm o 14.7 PSIA
#fraccion_A = 0.5"

# reaccion_quimica
detalle;especie_quimica;formula;nombre_reaccion;id;coeficiente_estequiometrico;tipo_especie
Reacción de transformación de A en R A=>2R;A;A;A=>2R;1;1.0;reactivo_limitante
